,adversaire,avg_score_france,avg_score_adversaire,count_nb_match,max_france_penality,penalityfrance_moins_penalityadversaire
0,Andorre,2.3333333333333335,0.0,3,0,0.0
1,Côte d'Ivoire,1.5,0.0,2,0,0.0
2,Paraguay,1.75,0.25,4,0,0.0
3,RDA,1.0,0.6,5,0,0.0
4,Sénégal,0.0,1.0,1,0,0.0
5,Angleterre,1.1538461538461537,1.0769230769230769,13,0,0.0
6,Autriche,1.5,0.75,8,0,0.0
7,Hongrie,2.25,0.5,4,0,0.0
8,Islande,2.375,1.125,8,0,0.0
9,Biélorussie,1.6666666666666667,1.0,6,0,0.0
10,Finlande,1.8333333333333333,0.16666666666666666,6,0,0.0
11,Bulgarie,1.25,1.0,8,0,0.0
12,Russie,2.142857142857143,1.4285714285714286,7,0,0.0
13,Bosnie-Herzégovine,1.5,0.75,4,0,0.0
14,Roumanie,1.3,0.6,10,0,0.0
15,NA,,,3,1949,
16,Grèce,2.25,0.75,4,0,0.0
17,Espagne,1.1111111111111112,1.0555555555555556,18,0,0.0
18,Togo,2.0,0.0,1,0,0.0
19,Chypre,3.375,0.25,8,0,0.0
20,Colombie,1.25,1.5,4,0,0.0
21,Albanie,2.0,0.42857142857142855,7,0,0.0
22,Croatie,1.8,0.6,5,0,0.0
23,Irlande du Nord,1.8,0.2,5,0,0.0
24,Suisse,1.4,0.9,10,0,0.0
25,Allemagne,1.4,0.6,10,0,0.0
26,Pologne,1.1111111111111112,1.0,9,0,0.0
27,Sélection FIFA,5.0,1.0,1,0,0.0
28,Îles Féroé,3.6666666666666665,0.0,6,0,0.0
29,Argentine,0.6666666666666666,1.0,3,0,0.0
30,Écosse,1.8888888888888888,0.5555555555555556,9,0,0.0
31,Nigeria,1.0,0.5,2,0,0.0
32,Arménie,2.8,0.4,5,0,0.0
33,Malte,5.0,0.0,2,0,0.0
34,Australie- France,0.0,1.0,1,0,0.0
35,Slovénie,3.3333333333333335,0.6666666666666666,3,0,0.0
36,Algérie,4.0,1.0,1,0,0.0
37,URSS- France,0.0,1.0,1,0,0.0
38,Tchécoslovaquie,1.5,1.0,4,0,0.0
39,Brésil,1.0,1.2727272727272727,11,4,1.0
40,Nouvelle-Zélande,5.0,0.0,1,0,0.0
41,Italie,1.75,0.8333333333333334,12,3,-2.0
42,Israël,1.6666666666666667,0.6666666666666666,9,0,0.0
43,France – Italie,0.0,0.0,1,4,1.0
44,Ukraine,1.5555555555555556,0.5555555555555556,9,0,0.0
45,Australie,2.5,0.5,4,0,0.0
46,Chili,1.6666666666666667,1.3333333333333333,3,0,0.0
47,Tunisie,1.6666666666666667,1.0,3,0,0.0
48,Uruguay,0.3333333333333333,0.16666666666666666,6,0,0.0
49,RF Yougoslavie,3.0,0.0,1,0,0.0
50,Japon,2.3333333333333335,0.8333333333333334,6,4,2.0
51,Lituanie,1.25,0.0,4,0,0.0
52,Slovaquie,1.5,0.5,4,0,0.0
53,URSS,0.75,1.25,4,0,0.0
54,RFA,1.3333333333333333,2.0,6,4,-1.0
55,Honduras,3.0,0.0,1,0,0.0
56,Mexique,1.75,0.5,4,0,0.0
57,Yougoslavie,1.5714285714285714,0.7142857142857143,7,0,0.0
58,Maroc,2.4,1.2,5,5,-1.0
59,Irlande,1.2222222222222223,0.5555555555555556,9,0,0.0
60,Suède,1.4166666666666667,1.0833333333333333,12,0,0.0
61,Pérou,0.5,0.5,2,0,0.0
62,Pays-Bas,1.4,0.8666666666666667,15,5,1.0
63,Serbie,1.6,0.8,5,0,0.0
64,Chine,1.5,1.0,2,0,0.0
65,Canada,1.0,0.0,1,0,0.0
66,Corée du Sud,3.0,1.0,3,0,0.0
67,Afrique du Sud,1.5,0.75,4,0,0.0
68,Belgique,1.9230769230769231,1.2307692307692308,13,0,0.0
69,Turquie,3.0,0.5,4,0,0.0
70,États-Unis,1.0,0.5,2,0,0.0
71,Estonie,4.0,0.0,1,0,0.0
72,Pays de Galles,1.0,0.5,2,0,0.0
73,Luxembourg,2.8333333333333335,0.16666666666666666,6,0,0.0
74,Danemark,1.25,0.8333333333333334,12,0,0.0
75,Égypte,5.0,0.0,1,0,0.0
76,Arabie saoudite,4.0,0.0,1,0,0.0
77,Géorgie,1.75,0.25,4,0,0.0
78,Équateur,1.0,0.0,2,0,0.0
79,Portugal,2.1,0.7,10,0,0.0
80,Cameroun,1.6666666666666667,1.0,3,0,0.0
81,Norvège,1.375,1.125,8,0,0.0
82,Costa Rica,2.5,1.5,2,0,0.0
83,Azerbaïdjan,6.0,5.0,2,0,0.0
84,Koweït,2.5,0.5,2,0,0.0
85,Rép. tchèque,1.0,1.25,4,5,-1.0
86,Jamaïque,8.0,0.0,1,0,0.0
